source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,70,climbing-stairs,Climbing Stairs,Easy,54.1%,https://leetcode.com/problems/climbing-stairs/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,198,house-robber,House Robber,Medium,53.2%,https://leetcode.com/problems/house-robber/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,213,house-robber-ii,House Robber II,Medium,44.9%,https://leetcode.com/problems/house-robber-ii/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,322,coin-change,Coin Change,Medium,48.4%,https://leetcode.com/problems/coin-change/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,518,coin-change-ii,Coin Change II,Medium,60.1%,https://leetcode.com/problems/coin-change-ii/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,91,decode-ways,Decode Ways,Medium,38.0%,https://leetcode.com/problems/decode-ways/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,139,word-break,Word Break,Medium,49.4%,https://leetcode.com/problems/word-break/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,300,longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.4%,https://leetcode.com/problems/longest-increasing-subsequence/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,1143,longest-common-subsequence,Longest Common Subsequence,Medium,,https://leetcode.com/problems/longest-common-subsequence/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,72,edit-distance,Edit Distance,Medium,,https://leetcode.com/problems/edit-distance/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,416,partition-equal-subset-sum,Partition Equal Subset Sum,Medium,,https://leetcode.com/problems/partition-equal-subset-sum/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,494,target-sum,Target Sum,Medium,52.2%,https://leetcode.com/problems/target-sum/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,62,unique-paths,Unique Paths,Medium,66.8%,https://leetcode.com/problems/unique-paths/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,309,best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,2026-05-19
classic-3-topics-dp,Classic 3 Topics: Dynamic Programming,local-curated,local:classic-3-topics/dynamic-programming,85,maximal-rectangle,Maximal Rectangle,Hard,,https://leetcode.com/problems/maximal-rectangle/,2026-05-19
