source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,200,number-of-islands,Number of Islands,Medium,64.4%,https://leetcode.com/problems/number-of-islands/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,695,max-area-of-island,Max Area of Island,Medium,74.0%,https://leetcode.com/problems/max-area-of-island/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,133,clone-graph,Clone Graph,Medium,65.3%,https://leetcode.com/problems/clone-graph/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,994,rotting-oranges,Rotting Oranges,Medium,,https://leetcode.com/problems/rotting-oranges/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,542,01-matrix,01 Matrix,Medium,53.9%,https://leetcode.com/problems/01-matrix/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,417,pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,60.9%,https://leetcode.com/problems/pacific-atlantic-water-flow/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,207,course-schedule,Course Schedule,Medium,51.4%,https://leetcode.com/problems/course-schedule/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,210,course-schedule-ii,Course Schedule II,Medium,,https://leetcode.com/problems/course-schedule-ii/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,269,alien-dictionary,Alien Dictionary,Hard,37.2%,https://leetcode.com/problems/alien-dictionary/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,127,word-ladder,Word Ladder,Hard,,https://leetcode.com/problems/word-ladder/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,721,accounts-merge,Accounts Merge,Medium,,https://leetcode.com/problems/accounts-merge/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,399,evaluate-division,Evaluate Division,Medium,,https://leetcode.com/problems/evaluate-division/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,743,network-delay-time,Network Delay Time,Medium,,https://leetcode.com/problems/network-delay-time/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,236,lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.3%,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,2026-05-19
classic-3-topics-graph-tree,Classic 3 Topics: Graph / Tree,local-curated,local:classic-3-topics/graph-tree,124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.3%,https://leetcode.com/problems/binary-tree-maximum-path-sum/,2026-05-19
