source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,456,132-pattern,132 Pattern,Medium,,https://leetcode.com/problems/132-pattern/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,721,accounts-merge,Accounts Merge,Medium,,https://leetcode.com/problems/accounts-merge/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,269,alien-dictionary,Alien Dictionary,Hard,,https://leetcode.com/problems/alien-dictionary/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,863,all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,735,asteroid-collision,Asteroid Collision,Medium,,https://leetcode.com/problems/asteroid-collision/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,224,basic-calculator,Basic Calculator,Hard,,https://leetcode.com/problems/basic-calculator/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,309,best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,968,binary-tree-cameras,Binary Tree Cameras,Hard,,https://leetcode.com/problems/binary-tree-cameras/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,,https://leetcode.com/problems/binary-tree-maximum-path-sum/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,199,binary-tree-right-side-view,Binary Tree Right Side View,Medium,,https://leetcode.com/problems/binary-tree-right-side-view/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,312,burst-balloons,Burst Balloons,Hard,,https://leetcode.com/problems/burst-balloons/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,815,bus-routes,Bus Routes,Hard,,https://leetcode.com/problems/bus-routes/,2026-05-17
coding-plan-deep-work,Coding Plan Deep Work,local-plan,coding-plan/deep_work.html,135,candy,Candy,Hard,,https://leetcode.com/problems/candy/,2026-05-17
