source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,1,two-sum,Two Sum,Easy,57.5%,https://leetcode.com/problems/two-sum/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,2,add-two-numbers,Add Two Numbers,Medium,48.4%,https://leetcode.com/problems/add-two-numbers/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.0%,https://leetcode.com/problems/longest-substring-without-repeating-characters/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,4,median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.5%,https://leetcode.com/problems/median-of-two-sorted-arrays/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,5,longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,https://leetcode.com/problems/longest-palindromic-substring/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,7,reverse-integer,Reverse Integer,Medium,31.9%,https://leetcode.com/problems/reverse-integer/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,9,palindrome-number,Palindrome Number,Easy,60.5%,https://leetcode.com/problems/palindrome-number/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,11,container-with-most-water,Container With Most Water,Medium,60.0%,https://leetcode.com/problems/container-with-most-water/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,12,integer-to-roman,Integer to Roman,Medium,71.0%,https://leetcode.com/problems/integer-to-roman/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,13,roman-to-integer,Roman to Integer,Easy,66.6%,https://leetcode.com/problems/roman-to-integer/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,15,3sum,3Sum,Medium,39.1%,https://leetcode.com/problems/3sum/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,20,valid-parentheses,Valid Parentheses,Easy,44.2%,https://leetcode.com/problems/valid-parentheses/,2026-05-17
google-thirty-days,Google 30 Days,company,https://leetcode.com/company/google/?favoriteSlug=google-thirty-days,21,merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,https://leetcode.com/problems/merge-two-sorted-lists/,2026-05-17
