source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,209,minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,51.6%,https://leetcode.com/problems/minimum-size-subarray-sum/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,283,move-zeroes,Move Zeroes,Easy,63.8%,https://leetcode.com/problems/move-zeroes/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,303,range-sum-query-immutable,Range Sum Query - Immutable,Easy,72.1%,https://leetcode.com/problems/range-sum-query-immutable/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,557,reverse-words-in-a-string-iii,Reverse Words in a String III,Easy,84.0%,https://leetcode.com/problems/reverse-words-in-a-string-iii/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,724,find-pivot-index,Find Pivot Index,Easy,62.6%,https://leetcode.com/problems/find-pivot-index/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,917,reverse-only-letters,Reverse Only Letters,Easy,68.5%,https://leetcode.com/problems/reverse-only-letters/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,1208,get-equal-substrings-within-budget,Get Equal Substrings Within Budget,Medium,59.7%,https://leetcode.com/problems/get-equal-substrings-within-budget/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,1456,maximum-number-of-vowels-in-a-substring-of-given-length,Maximum Number of Vowels in a Substring of Given Length,Medium,61.9%,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,1732,find-the-highest-altitude,Find the Highest Altitude,Easy,83.9%,https://leetcode.com/problems/find-the-highest-altitude/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,2000,reverse-prefix-of-word,Reverse Prefix of Word,Easy,86.5%,https://leetcode.com/problems/reverse-prefix-of-word/,2026-05-17
licc-bonus-arrays-and-strings,LICC Bonus: Arrays and Strings,problem-list,https://leetcode.com/problem-list/ajc81mgt/,2540,minimum-common-value,Minimum Common Value,Easy,58.0%,https://leetcode.com/problems/minimum-common-value/,2026-05-17
