source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,33,search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.5%,https://leetcode.com/problems/search-in-rotated-sorted-array/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,374,guess-number-higher-or-lower,Guess Number Higher or Lower,Easy,57.5%,https://leetcode.com/problems/guess-number-higher-or-lower/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,540,single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.3%,https://leetcode.com/problems/single-element-in-a-sorted-array/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,778,swim-in-rising-water,Swim in Rising Water,Hard,67.8%,https://leetcode.com/problems/swim-in-rising-water/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,1482,minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,56.5%,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,1533,find-the-index-of-the-large-integer,Find the Index of the Large Integer,Medium,56.5%,https://leetcode.com/problems/find-the-index-of-the-large-integer/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,1855,maximum-distance-between-a-pair-of-values,Maximum Distance Between a Pair of Values,Medium,61.4%,https://leetcode.com/problems/maximum-distance-between-a-pair-of-values/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,1970,last-day-where-you-can-still-cross,Last Day Where You Can Still Cross,Hard,68.7%,https://leetcode.com/problems/last-day-where-you-can-still-cross/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2141,maximum-running-time-of-n-computers,Maximum Running Time of N Computers,Hard,56.5%,https://leetcode.com/problems/maximum-running-time-of-n-computers/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2187,minimum-time-to-complete-trips,Minimum Time to Complete Trips,Medium,39.8%,https://leetcode.com/problems/minimum-time-to-complete-trips/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2226,maximum-candies-allocated-to-k-children,Maximum Candies Allocated to K Children,Medium,49.9%,https://leetcode.com/problems/maximum-candies-allocated-to-k-children/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2250,count-number-of-rectangles-containing-each-point,Count Number of Rectangles Containing Each Point,Medium,37.6%,https://leetcode.com/problems/count-number-of-rectangles-containing-each-point/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2251,number-of-flowers-in-full-bloom,Number of Flowers in Full Bloom,Hard,57.8%,https://leetcode.com/problems/number-of-flowers-in-full-bloom/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2258,escape-the-spreading-fire,Escape the Spreading Fire,Hard,38.2%,https://leetcode.com/problems/escape-the-spreading-fire/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2476,closest-nodes-queries-in-a-binary-search-tree,Closest Nodes Queries in a Binary Search Tree,Medium,44.5%,https://leetcode.com/problems/closest-nodes-queries-in-a-binary-search-tree/,2026-05-17
licc-bonus-binary-search,LICC Bonus: Binary Search,problem-list,https://leetcode.com/problem-list/ajcgv2cg/,2517,maximum-tastiness-of-candy-basket,Maximum Tastiness of Candy Basket,Medium,68.1%,https://leetcode.com/problems/maximum-tastiness-of-candy-basket/,2026-05-17
