source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,205,isomorphic-strings,Isomorphic Strings,Easy,48.4%,https://leetcode.com/problems/isomorphic-strings/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,217,contains-duplicate,Contains Duplicate,Easy,64.3%,https://leetcode.com/problems/contains-duplicate/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,290,word-pattern,Word Pattern,Easy,44.1%,https://leetcode.com/problems/word-pattern/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,451,sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.3%,https://leetcode.com/problems/sort-characters-by-frequency/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,567,permutation-in-string,Permutation in String,Medium,48.8%,https://leetcode.com/problems/permutation-in-string/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,791,custom-sort-string,Custom Sort String,Medium,72.3%,https://leetcode.com/problems/custom-sort-string/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,930,binary-subarrays-with-sum,Binary Subarrays With Sum,Medium,68.8%,https://leetcode.com/problems/binary-subarrays-with-sum/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1207,unique-number-of-occurrences,Unique Number of Occurrences,Easy,78.7%,https://leetcode.com/problems/unique-number-of-occurrences/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1394,find-lucky-integer-in-an-array,Find Lucky Integer in an Array,Easy,75.5%,https://leetcode.com/problems/find-lucky-integer-in-an-array/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1436,destination-city,Destination City,Easy,79.5%,https://leetcode.com/problems/destination-city/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1496,path-crossing,Path Crossing,Easy,62.6%,https://leetcode.com/problems/path-crossing/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1512,number-of-good-pairs,Number of Good Pairs,Easy,89.8%,https://leetcode.com/problems/number-of-good-pairs/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1657,determine-if-two-strings-are-close,Determine if Two Strings Are Close,Medium,54.3%,https://leetcode.com/problems/determine-if-two-strings-are-close/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1695,maximum-erasure-value,Maximum Erasure Value,Medium,64.3%,https://leetcode.com/problems/maximum-erasure-value/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,1748,sum-of-unique-elements,Sum of Unique Elements,Easy,80.0%,https://leetcode.com/problems/sum-of-unique-elements/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,2958,length-of-longest-subarray-with-at-most-k-frequency,Length of Longest Subarray With at Most K Frequency,Medium,56.6%,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,2026-05-17
licc-bonus-hashing,LICC Bonus: Hashing,problem-list,https://leetcode.com/problem-list/ajcqwr0m/,3005,count-elements-with-maximum-frequency,Count Elements With Maximum Frequency,Easy,79.8%,https://leetcode.com/problems/count-elements-with-maximum-frequency/,2026-05-17
