source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,155,min-stack,Min Stack,Medium,58.1%,https://leetcode.com/problems/min-stack/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,225,implement-stack-using-queues,Implement Stack using Queues,Easy,69.9%,https://leetcode.com/problems/implement-stack-using-queues/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,232,implement-queue-using-stacks,Implement Queue using Stacks,Easy,69.8%,https://leetcode.com/problems/implement-queue-using-stacks/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,649,dota2-senate,Dota2 Senate,Medium,49.8%,https://leetcode.com/problems/dota2-senate/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,735,asteroid-collision,Asteroid Collision,Medium,47.8%,https://leetcode.com/problems/asteroid-collision/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,907,sum-of-subarray-minimums,Sum of Subarray Minimums,Medium,38.6%,https://leetcode.com/problems/sum-of-subarray-minimums/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,946,validate-stack-sequences,Validate Stack Sequences,Medium,70.4%,https://leetcode.com/problems/validate-stack-sequences/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,1063,number-of-valid-subarrays,Number of Valid Subarrays,Hard,80.0%,https://leetcode.com/problems/number-of-valid-subarrays/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,1475,final-prices-with-a-special-discount-in-a-shop,Final Prices With a Special Discount in a Shop,Easy,84.1%,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,1673,find-the-most-competitive-subsequence,Find the Most Competitive Subsequence,Medium,53.0%,https://leetcode.com/problems/find-the-most-competitive-subsequence/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,1944,number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,73.0%,https://leetcode.com/problems/number-of-visible-people-in-a-queue/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,2104,sum-of-subarray-ranges,Sum of Subarray Ranges,Medium,61.1%,https://leetcode.com/problems/sum-of-subarray-ranges/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,2390,removing-stars-from-a-string,Removing Stars From a String,Medium,79.3%,https://leetcode.com/problems/removing-stars-from-a-string/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,2398,maximum-number-of-robots-within-budget,Maximum Number of Robots Within Budget,Hard,38.6%,https://leetcode.com/problems/maximum-number-of-robots-within-budget/,2026-05-17
licc-bonus-stacks-and-queues,LICC Bonus: Stacks and Queues,problem-list,https://leetcode.com/problem-list/ajc6l7ge/,2434,using-a-robot-to-print-the-lexicographically-smallest-string,Using a Robot to Print the Lexicographically Smallest String,Medium,62.3%,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string/,2026-05-17
