source_key,source_name,source_type,source_url,source_order,problem_id,slug,title,difficulty,acceptance,problem_url,concepts,neetcode_url,neetcode_slug,imported_at
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,1,217,contains-duplicate,Contains Duplicate,Easy,,https://leetcode.com/problems/contains-duplicate/,Arrays & Hashing,https://neetcode.io/problems/duplicate-integer/question?list=neetcode150,duplicate-integer,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,2,242,valid-anagram,Valid Anagram,Easy,,https://leetcode.com/problems/valid-anagram/,Arrays & Hashing,https://neetcode.io/problems/is-anagram/question?list=neetcode150,is-anagram,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,3,1,two-sum,Two Sum,Easy,,https://leetcode.com/problems/two-sum/,Arrays & Hashing,https://neetcode.io/problems/two-integer-sum/question?list=neetcode150,two-integer-sum,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,4,49,group-anagrams,Group Anagrams,Medium,,https://leetcode.com/problems/group-anagrams/,Arrays & Hashing,https://neetcode.io/problems/anagram-groups/question?list=neetcode150,anagram-groups,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,5,347,top-k-frequent-elements,Top K Frequent Elements,Medium,,https://leetcode.com/problems/top-k-frequent-elements/,Arrays & Hashing,https://neetcode.io/problems/top-k-elements-in-list/question?list=neetcode150,top-k-elements-in-list,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,6,271,encode-and-decode-strings,Encode and Decode Strings,Medium,,https://leetcode.com/problems/encode-and-decode-strings/,Arrays & Hashing,https://neetcode.io/problems/string-encode-and-decode/question?list=neetcode150,string-encode-and-decode,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,7,238,product-of-array-except-self,Product of Array Except Self,Medium,,https://leetcode.com/problems/product-of-array-except-self/,Arrays & Hashing,https://neetcode.io/problems/products-of-array-discluding-self/question?list=neetcode150,products-of-array-discluding-self,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,8,36,valid-sudoku,Valid Sudoku,Medium,,https://leetcode.com/problems/valid-sudoku/,Arrays & Hashing,https://neetcode.io/problems/valid-sudoku/question?list=neetcode150,valid-sudoku,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,9,128,longest-consecutive-sequence,Longest Consecutive Sequence,Medium,,https://leetcode.com/problems/longest-consecutive-sequence/,Arrays & Hashing,https://neetcode.io/problems/longest-consecutive-sequence/question?list=neetcode150,longest-consecutive-sequence,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,10,125,valid-palindrome,Valid Palindrome,Easy,,https://leetcode.com/problems/valid-palindrome/,Two Pointers,https://neetcode.io/problems/is-palindrome/question?list=neetcode150,is-palindrome,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,11,167,two-sum-ii-input-array-is-sorted,Two Sum II Input Array Is Sorted,Medium,,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Two Pointers,https://neetcode.io/problems/two-integer-sum-ii/question?list=neetcode150,two-integer-sum-ii,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,12,15,3sum,3Sum,Medium,,https://leetcode.com/problems/3sum/,Two Pointers,https://neetcode.io/problems/three-integer-sum/question?list=neetcode150,three-integer-sum,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,13,11,container-with-most-water,Container With Most Water,Medium,,https://leetcode.com/problems/container-with-most-water/,Two Pointers,https://neetcode.io/problems/max-water-container/question?list=neetcode150,max-water-container,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,14,42,trapping-rain-water,Trapping Rain Water,Hard,,https://leetcode.com/problems/trapping-rain-water/,Two Pointers,https://neetcode.io/problems/trapping-rain-water/question?list=neetcode150,trapping-rain-water,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,15,121,best-time-to-buy-and-sell-stock,Best Time to Buy And Sell Stock,Easy,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Sliding Window,https://neetcode.io/problems/buy-and-sell-crypto/question?list=neetcode150,buy-and-sell-crypto,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,16,3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Sliding Window,https://neetcode.io/problems/longest-substring-without-duplicates/question?list=neetcode150,longest-substring-without-duplicates,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,17,424,longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,,https://leetcode.com/problems/longest-repeating-character-replacement/,Sliding Window,https://neetcode.io/problems/longest-repeating-substring-with-replacement/question?list=neetcode150,longest-repeating-substring-with-replacement,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,18,567,permutation-in-string,Permutation In String,Medium,,https://leetcode.com/problems/permutation-in-string/,Sliding Window,https://neetcode.io/problems/permutation-string/question?list=neetcode150,permutation-string,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,19,76,minimum-window-substring,Minimum Window Substring,Hard,,https://leetcode.com/problems/minimum-window-substring/,Sliding Window,https://neetcode.io/problems/minimum-window-with-characters/question?list=neetcode150,minimum-window-with-characters,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,20,239,sliding-window-maximum,Sliding Window Maximum,Hard,,https://leetcode.com/problems/sliding-window-maximum/,Sliding Window,https://neetcode.io/problems/sliding-window-maximum/question?list=neetcode150,sliding-window-maximum,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,21,20,valid-parentheses,Valid Parentheses,Easy,,https://leetcode.com/problems/valid-parentheses/,Stack,https://neetcode.io/problems/validate-parentheses/question?list=neetcode150,validate-parentheses,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,22,155,min-stack,Min Stack,Medium,,https://leetcode.com/problems/min-stack/,Stack,https://neetcode.io/problems/minimum-stack/question?list=neetcode150,minimum-stack,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,23,150,evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Stack,https://neetcode.io/problems/evaluate-reverse-polish-notation/question?list=neetcode150,evaluate-reverse-polish-notation,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,24,739,daily-temperatures,Daily Temperatures,Medium,,https://leetcode.com/problems/daily-temperatures/,Stack,https://neetcode.io/problems/daily-temperatures/question?list=neetcode150,daily-temperatures,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,25,853,car-fleet,Car Fleet,Medium,,https://leetcode.com/problems/car-fleet/,Stack,https://neetcode.io/problems/car-fleet/question?list=neetcode150,car-fleet,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,26,84,largest-rectangle-in-histogram,Largest Rectangle In Histogram,Hard,,https://leetcode.com/problems/largest-rectangle-in-histogram/,Stack,https://neetcode.io/problems/largest-rectangle-in-histogram/question?list=neetcode150,largest-rectangle-in-histogram,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,27,704,binary-search,Binary Search,Easy,,https://leetcode.com/problems/binary-search/,Binary Search,https://neetcode.io/problems/binary-search/question?list=neetcode150,binary-search,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,28,74,search-a-2d-matrix,Search a 2D Matrix,Medium,,https://leetcode.com/problems/search-a-2d-matrix/,Binary Search,https://neetcode.io/problems/search-2d-matrix/question?list=neetcode150,search-2d-matrix,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,29,875,koko-eating-bananas,Koko Eating Bananas,Medium,,https://leetcode.com/problems/koko-eating-bananas/,Binary Search,https://neetcode.io/problems/eating-bananas/question?list=neetcode150,eating-bananas,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,30,153,find-minimum-in-rotated-sorted-array,Find Minimum In Rotated Sorted Array,Medium,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Binary Search,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array/question?list=neetcode150,find-minimum-in-rotated-sorted-array,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,31,33,search-in-rotated-sorted-array,Search In Rotated Sorted Array,Medium,,https://leetcode.com/problems/search-in-rotated-sorted-array/,Binary Search,https://neetcode.io/problems/find-target-in-rotated-sorted-array/question?list=neetcode150,find-target-in-rotated-sorted-array,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,32,981,time-based-key-value-store,Time Based Key Value Store,Medium,,https://leetcode.com/problems/time-based-key-value-store/,Binary Search,https://neetcode.io/problems/time-based-key-value-store/question?list=neetcode150,time-based-key-value-store,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,33,4,median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,,https://leetcode.com/problems/median-of-two-sorted-arrays/,Binary Search,https://neetcode.io/problems/median-of-two-sorted-arrays/question?list=neetcode150,median-of-two-sorted-arrays,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,34,206,reverse-linked-list,Reverse Linked List,Easy,,https://leetcode.com/problems/reverse-linked-list/,Linked List,https://neetcode.io/problems/reverse-a-linked-list/question?list=neetcode150,reverse-a-linked-list,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,35,21,merge-two-sorted-lists,Merge Two Sorted Lists,Easy,,https://leetcode.com/problems/merge-two-sorted-lists/,Linked List,https://neetcode.io/problems/merge-two-sorted-linked-lists/question?list=neetcode150,merge-two-sorted-linked-lists,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,36,141,linked-list-cycle,Linked List Cycle,Easy,,https://leetcode.com/problems/linked-list-cycle/,Linked List,https://neetcode.io/problems/linked-list-cycle-detection/question?list=neetcode150,linked-list-cycle-detection,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,37,143,reorder-list,Reorder List,Medium,,https://leetcode.com/problems/reorder-list/,Linked List,https://neetcode.io/problems/reorder-linked-list/question?list=neetcode150,reorder-linked-list,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,38,19,remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Linked List,https://neetcode.io/problems/remove-node-from-end-of-linked-list/question?list=neetcode150,remove-node-from-end-of-linked-list,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,39,138,copy-list-with-random-pointer,Copy List With Random Pointer,Medium,,https://leetcode.com/problems/copy-list-with-random-pointer/,Linked List,https://neetcode.io/problems/copy-linked-list-with-random-pointer/question?list=neetcode150,copy-linked-list-with-random-pointer,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,40,2,add-two-numbers,Add Two Numbers,Medium,,https://leetcode.com/problems/add-two-numbers/,Linked List,https://neetcode.io/problems/add-two-numbers/question?list=neetcode150,add-two-numbers,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,41,287,find-the-duplicate-number,Find The Duplicate Number,Medium,,https://leetcode.com/problems/find-the-duplicate-number/,Linked List,https://neetcode.io/problems/find-duplicate-integer/question?list=neetcode150,find-duplicate-integer,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,42,146,lru-cache,LRU Cache,Medium,,https://leetcode.com/problems/lru-cache/,Linked List,https://neetcode.io/problems/lru-cache/question?list=neetcode150,lru-cache,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,43,23,merge-k-sorted-lists,Merge K Sorted Lists,Hard,,https://leetcode.com/problems/merge-k-sorted-lists/,Linked List,https://neetcode.io/problems/merge-k-sorted-linked-lists/question?list=neetcode150,merge-k-sorted-linked-lists,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,44,25,reverse-nodes-in-k-group,Reverse Nodes In K Group,Hard,,https://leetcode.com/problems/reverse-nodes-in-k-group/,Linked List,https://neetcode.io/problems/reverse-nodes-in-k-group/question?list=neetcode150,reverse-nodes-in-k-group,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,45,226,invert-binary-tree,Invert Binary Tree,Easy,,https://leetcode.com/problems/invert-binary-tree/,Trees,https://neetcode.io/problems/invert-a-binary-tree/question?list=neetcode150,invert-a-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,46,104,maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Trees,https://neetcode.io/problems/depth-of-binary-tree/question?list=neetcode150,depth-of-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,47,543,diameter-of-binary-tree,Diameter of Binary Tree,Easy,,https://leetcode.com/problems/diameter-of-binary-tree/,Trees,https://neetcode.io/problems/binary-tree-diameter/question?list=neetcode150,binary-tree-diameter,2026-05-25
