problem_id,slug,title,difficulty,acceptance,problem_url,source_keys,source_count,concepts,imported_at
1,two-sum,Two Sum,Easy,57.5%,https://leetcode.com/problems/two-sum/,blind-curated-75;google-thirty-days;meta-thirty-days;classic-3-topics-array-string;neetcode-150,5,Arrays & Hashing,2026-05-25
2,add-two-numbers,Add Two Numbers,Medium,48.4%,https://leetcode.com/problems/add-two-numbers/,google-thirty-days;neetcode-150,2,Linked List,2026-05-25
3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.0%,https://leetcode.com/problems/longest-substring-without-repeating-characters/,blind-curated-75;coding-plan-deep-work;google-thirty-days;classic-3-topics-array-string;neetcode-150,5,Sliding Window,2026-05-25
4,median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.5%,https://leetcode.com/problems/median-of-two-sorted-arrays/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Binary Search,2026-05-25
5,longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,https://leetcode.com/problems/longest-palindromic-substring/,blind-curated-75;coding-plan-deep-work;google-thirty-days;neetcode-150,4,1-D Dynamic Programming,2026-05-25
7,reverse-integer,Reverse Integer,Medium,31.9%,https://leetcode.com/problems/reverse-integer/,google-thirty-days;neetcode-150,2,Bit Manipulation,2026-05-25
9,palindrome-number,Palindrome Number,Easy,60.5%,https://leetcode.com/problems/palindrome-number/,google-thirty-days,1,,2026-05-17
10,regular-expression-matching,Regular Expression Matching,Hard,,https://leetcode.com/problems/regular-expression-matching/,coding-plan-deep-work;neetcode-150,2,2-D Dynamic Programming,2026-05-25
11,container-with-most-water,Container With Most Water,Medium,60.0%,https://leetcode.com/problems/container-with-most-water/,blind-curated-75;google-thirty-days;classic-3-topics-array-string;neetcode-150,4,Two Pointers,2026-05-25
12,integer-to-roman,Integer to Roman,Medium,71.0%,https://leetcode.com/problems/integer-to-roman/,google-thirty-days,1,,2026-05-17
13,roman-to-integer,Roman to Integer,Easy,66.6%,https://leetcode.com/problems/roman-to-integer/,google-thirty-days,1,,2026-05-17
15,3sum,3Sum,Medium,39.1%,https://leetcode.com/problems/3sum/,blind-curated-75;google-thirty-days;classic-3-topics-array-string;neetcode-150,4,Two Pointers,2026-05-25
17,letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,coding-plan-deep-work;neetcode-150,2,Backtracking,2026-05-25
18,4sum,4Sum,Medium,40.6%,https://leetcode.com/problems/4sum/,meta-thirty-days,1,,2026-05-17
19,remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,51.6%,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,blind-curated-75;neetcode-150,2,Linked List,2026-05-25
20,valid-parentheses,Valid Parentheses,Easy,44.2%,https://leetcode.com/problems/valid-parentheses/,blind-curated-75;google-thirty-days;meta-thirty-days;neetcode-150,4,Stack,2026-05-25
21,merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,https://leetcode.com/problems/merge-two-sorted-lists/,blind-curated-75;google-thirty-days;neetcode-150,3,Linked List,2026-05-25
22,generate-parentheses,Generate Parentheses,Medium,78.6%,https://leetcode.com/problems/generate-parentheses/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Backtracking,2026-05-25
23,merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.5%,https://leetcode.com/problems/merge-k-sorted-lists/,blind-curated-75;coding-plan-deep-work;meta-thirty-days;neetcode-150,4,Linked List,2026-05-25
25,reverse-nodes-in-k-group,Reverse Nodes In K Group,Hard,,https://leetcode.com/problems/reverse-nodes-in-k-group/,neetcode-150,1,Linked List,2026-05-25
26,remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.8%,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,google-thirty-days,1,,2026-05-17
27,remove-element,Remove Element,Easy,61.8%,https://leetcode.com/problems/remove-element/,google-thirty-days;meta-thirty-days,2,,2026-05-17
29,divide-two-integers,Divide Two Integers,Medium,19.8%,https://leetcode.com/problems/divide-two-integers/,google-thirty-days,1,,2026-05-17
30,substring-with-concatenation-of-all-words,Substring with Concatenation of All Words,Hard,,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,coding-plan-deep-work,1,,2026-05-17
31,next-permutation,Next Permutation,Medium,45.2%,https://leetcode.com/problems/next-permutation/,google-thirty-days,1,,2026-05-17
33,search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.5%,https://leetcode.com/problems/search-in-rotated-sorted-array/,blind-curated-75;coding-plan-deep-work;google-thirty-days;licc-bonus-binary-search;classic-3-topics-array-string;neetcode-150,6,Binary Search,2026-05-25
34,find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.9%,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,coding-plan-deep-work;meta-thirty-days,2,,2026-05-17
36,valid-sudoku,Valid Sudoku,Medium,,https://leetcode.com/problems/valid-sudoku/,neetcode-150,1,Arrays & Hashing,2026-05-25
37,sudoku-solver,Sudoku Solver,Hard,,https://leetcode.com/problems/sudoku-solver/,coding-plan-deep-work,1,,2026-05-17
39,combination-sum,Combination Sum,Medium,76.5%,https://leetcode.com/problems/combination-sum/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Backtracking,2026-05-25
40,combination-sum-ii,Combination Sum II,Medium,59.4%,https://leetcode.com/problems/combination-sum-ii/,coding-plan-deep-work;licc-bonus-backtracking;neetcode-150,3,Backtracking,2026-05-25
42,trapping-rain-water,Trapping Rain Water,Hard,67.3%,https://leetcode.com/problems/trapping-rain-water/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Two Pointers,2026-05-25
43,multiply-strings,Multiply Strings,Medium,,https://leetcode.com/problems/multiply-strings/,neetcode-150,1,Math & Geometry,2026-05-25
45,jump-game-ii,Jump Game II,Medium,42.8%,https://leetcode.com/problems/jump-game-ii/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Greedy,2026-05-25
46,permutations,Permutations,Medium,81.9%,https://leetcode.com/problems/permutations/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Backtracking,2026-05-25
47,permutations-ii,Permutations II,Medium,63.4%,https://leetcode.com/problems/permutations-ii/,coding-plan-deep-work;licc-bonus-backtracking,2,,2026-05-17
48,rotate-image,Rotate Image,Medium,80.1%,https://leetcode.com/problems/rotate-image/,blind-curated-75;google-thirty-days;neetcode-150,3,Math & Geometry,2026-05-25
